date,wt0,wt1,wt2,wt3,wt4,wt5
1807-05-16,5,3,-1,-1,-1,-1
1807-05-17,5,4,-1,-1,-1,-1
1807-05-18,5,4,-1,-1,-1,-1
1807-05-19,1,6,-1,-1,-1,-1
1807-05-20,1,4,-1,-1,-1,-1
1807-05-21,1,-1,-1,-1,-1,-1
1807-05-22,4,-1,-1,-1,-1,-1
1807-05-23,5,4,-1,-1,-1,-1
1807-05-24,3,4,-1,-1,-1,-1
1807-05-25,2,3,1,-1,-1,-1
1807-05-26,3,2,1,-1,-1,-1
1807-05-27,3,4,1,-1,-1,-1
1807-05-28,3,1,2,-1,-1,-1
1807-05-29,2,-1,-1,-1,-1,-1
1807-05-30,2,-1,-1,-1,-1,-1
1807-05-31,3,4,-1,-1,-1,-1
1807-06-01,3,2,1,-1,-1,-1
1807-06-02,1,2,-1,-1,-1,-1
1807-06-03,1,-1,-1,-1,-1,-1
1807-06-04,1,-1,-1,-1,-1,-1
1807-06-05,4,1,-1,-1,-1,-1
1807-06-06,4,3,1,-1,-1,-1
1807-06-07,2,-1,-1,-1,-1,-1
1807-06-08,2,-1,-1,-1,-1,-1
1807-06-09,2,-1,-1,-1,-1,-1
1807-06-10,4,3,1,-1,-1,-1
1807-06-11,5,4,-1,-1,-1,-1
1807-06-12,5,-1,-1,-1,-1,-1
1807-06-13,4,-1,-1,-1,-1,-1
1807-06-14,5,4,-1,-1,-1,-1
1807-06-15,3,4,1,-1,-1,-1
1807-06-16,2,3,-1,-1,-1,-1
1807-06-17,1,2,-1,-1,-1,-1
1807-06-18,1,4,-1,-1,-1,-1
1807-06-19,4,1,-1,-1,-1,-1
1807-06-20,4,1,-1,-1,-1,-1
1807-06-21,4,-1,-1,-1,-1,-1
1807-06-22,4,-1,-1,-1,-1,-1
1807-06-23,1,-1,-1,-1,-1,-1
1807-06-24,1,3,-1,-1,-1,-1
1807-06-25,3,1,2,-1,-1,-1
1807-06-26,1,2,-1,-1,-1,-1
1807-06-27,1,6,-1,-1,-1,-1
1807-06-28,1,-1,-1,-1,-1,-1
1807-06-29,1,2,-1,-1,-1,-1
1807-06-30,6,2,-1,-1,-1,-1
1807-07-01,6,7,2,-1,-1,-1
1807-07-02,6,7,2,1,-1,-1
1807-07-03,1,2,-1,-1,-1,-1
1807-07-04,4,3,1,-1,-1,-1
1807-07-05,4,3,-1,-1,-1,-1
1807-07-06,1,3,2,-1,-1,-1
1807-07-07,4,1,-1,-1,-1,-1
1807-07-08,4,-1,-1,-1,-1,-1
1807-07-09,4,-1,-1,-1,-1,-1
1807-07-10,1,3,4,-1,-1,-1
1807-07-11,1,3,2,-1,-1,-1
1807-07-12,3,4,-1,-1,-1,-1
1807-07-13,5,4,3,-1,-1,-1
1807-07-14,4,3,5,1,-1,-1
1807-07-15,2,1,-1,-1,-1,-1
1807-07-16,1,2,-1,-1,-1,-1
1807-07-17,1,4,-1,-1,-1,-1
1807-07-18,1,-1,-1,-1,-1,-1
1807-07-19,1,4,-1,-1,-1,-1
1807-07-20,3,1,2,-1,-1,-1
1807-07-21,1,2,-1,-1,-1,-1
1807-07-22,2,1,-1,-1,-1,-1
1807-07-23,2,-1,-1,-1,-1,-1
1807-07-24,2,-1,-1,-1,-1,-1
1807-07-25,1,2,-1,-1,-1,-1
1807-07-26,2,1,-1,-1,-1,-1
1807-07-27,1,2,-1,-1,-1,-1
1807-07-28,1,3,4,-1,-1,-1
1807-07-29,2,6,1,-1,-1,-1
1807-07-30,2,-1,-1,-1,-1,-1
1807-07-31,2,1,-1,-1,-1,-1
1807-08-01,1,2,-1,-1,-1,-1
1807-08-02,7,2,-1,-1,-1,-1
1807-08-03,2,7,6,-1,-1,-1
1807-08-04,1,2,-1,-1,-1,-1
1807-08-05,1,4,3,-1,-1,-1
1807-08-06,3,4,1,-1,-1,-1
1807-08-07,5,3,4,-1,-1,-1
1807-08-08,3,4,-1,-1,-1,-1
1807-08-09,3,2,4,1,-1,-1
1807-08-10,3,2,1,-1,-1,-1
1807-08-11,2,1,-1,-1,-1,-1
1807-08-12,2,1,-1,-1,-1,-1
1807-08-13,2,1,-1,-1,-1,-1
1807-08-14,2,-1,-1,-1,-1,-1
1807-08-15,6,2,1,-1,-1,-1
1807-08-16,1,-1,-1,-1,-1,-1
1807-08-17,1,-1,-1,-1,-1,-1
1807-08-18,1,4,-1,-1,-1,-1
1807-08-19,2,1,-1,-1,-1,-1
1807-08-20,1,2,-1,-1,-1,-1
1807-08-21,1,2,3,-1,-1,-1
1807-08-22,3,2,1,-1,-1,-1
1807-08-23,3,4,1,-1,-1,-1
1807-08-24,3,5,4,-1,-1,-1
1807-08-25,3,-1,-1,-1,-1,-1
1807-08-26,5,3,4,-1,-1,-1
1807-08-27,3,4,-1,-1,-1,-1
1807-08-28,3,2,1,-1,-1,-1
1807-08-29,3,1,-1,-1,-1,-1
1807-08-30,3,1,2,-1,-1,-1
1807-08-31,1,4,3,-1,-1,-1
1807-09-01,1,4,-1,-1,-1,-1
1807-09-02,4,5,3,-1,-1,-1
1807-09-03,4,3,-1,-1,-1,-1
1807-09-04,3,1,2,-1,-1,-1
1807-09-05,2,1,-1,-1,-1,-1
1807-09-06,2,-1,-1,-1,-1,-1
1807-09-07,2,-1,-1,-1,-1,-1
1807-09-08,1,2,-1,-1,-1,-1
1807-09-09,2,3,-1,-1,-1,-1
1807-09-10,3,2,-1,-1,-1,-1
1807-09-11,1,4,-1,-1,-1,-1
1807-09-12,2,6,1,-1,-1,-1
1807-09-13,6,-1,-1,-1,-1,-1
1807-09-14,6,-1,-1,-1,-1,-1
1807-09-15,1,-1,-1,-1,-1,-1
1807-09-16,1,2,3,-1,-1,-1
1807-09-17,1,2,-1,-1,-1,-1
1807-09-18,2,1,-1,-1,-1,-1
1807-09-19,2,6,-1,-1,-1,-1
1807-09-20,1,4,-1,-1,-1,-1
1807-09-21,5,3,4,-1,-1,-1
1807-09-22,2,3,-1,-1,-1,-1
1807-09-23,2,-1,-1,-1,-1,-1
1807-09-24,2,-1,-1,-1,-1,-1
1807-09-25,2,-1,-1,-1,-1,-1
1807-09-26,2,-1,-1,-1,-1,-1
1807-09-27,2,-1,-1,-1,-1,-1
1807-09-28,7,6,2,-1,-1,-1
1807-09-29,2,1,-1,-1,-1,-1
1807-09-30,2,-1,-1,-1,-1,-1
1807-10-01,1,6,2,-1,-1,-1
1807-10-02,4,1,-1,-1,-1,-1
1807-10-03,5,4,-1,-1,-1,-1
1807-10-04,4,3,5,-1,-1,-1
1807-10-05,4,3,1,-1,-1,-1
1807-10-06,5,4,3,-1,-1,-1
1807-10-07,3,4,5,-1,-1,-1
1807-10-08,5,3,-1,-1,-1,-1
1807-10-09,6,1,-1,-1,-1,-1
1807-10-10,4,1,3,-1,-1,-1
