id,analog_ids,analog_dates,dists
205,2402,1971-07-31,1.7023900719167127
206,14079,2003-07-20,1.6152602340260012
207,19569,2018-07-31,1.4194854928178184
208,19569,2018-07-31,1.6817791516373597
209,19929,2019-07-26,1.821956841101629
210,14075,2003-07-16,1.8507531519259328
211,14075,2003-07-16,2.145218333918528
212,19569,2018-07-31,1.8584316133771213
213,10804,1994-08-01,1.9227167926251785
214,943,1967-08-02,2.183753887125365
215,14082,2003-07-23,1.8423701638428345
216,14082,2003-07-23,1.9481202067655046
217,9712,1991-08-05,1.9312756566540783
218,10807,1994-08-04,1.8831676521948475
219,10808,1994-08-05,1.9730590995687647
220,18480,2015-08-07,1.2509222869800463
221,18484,2015-08-11,1.7107573649148233
222,2401,1971-07-30,1.8000663763172857
223,19568,2018-07-30,1.6523126827450358
224,2404,1971-08-02,1.8245389108825485
225,2405,1971-08-03,1.6705178564379113
226,9709,1991-08-02,1.9460788417439199
227,9710,1991-08-03,2.3798112311165203
228,9711,1991-08-04,2.032346479851231
229,10806,1994-08-03,1.7609546391656394
230,6061,1981-08-06,1.6225254782540566
231,18479,2015-08-06,1.7219531887924266
232,18479,2015-08-06,1.799466885999391
233,13375,2001-08-15,1.7974014633695765
234,13375,2001-08-15,2.07779630218494
235,589,1966-08-13,1.8612850749554628
236,589,1966-08-13,1.9891895599952778
237,17399,2012-08-21,2.1097401344256803
238,17399,2012-08-21,2.2392292303400114
239,7530,1985-08-14,2.4623481273204333
240,13376,2001-08-16,2.4155507438865
241,17398,2012-08-20,2.3563805109103635
242,10454,1993-08-16,1.8745801811496068
243,7533,1985-08-17,2.066107483990877
244,16304,2009-08-22,1.5826447602952896
245,9732,1991-08-25,1.6263514883851529
246,3884,1975-08-21,1.366838133350384
247,974,1967-09-02,1.717134529970486
248,7540,1985-08-24,2.041137481453816
249,11558,1996-08-24,2.3054399263698424
250,16311,2009-08-29,2.0063551025833384
251,6837,1983-09-21,2.0117756338791493
252,7915,1986-09-03,1.7922671539819415
253,15579,2007-08-28,1.6367705163055528
254,14120,2003-08-30,2.035798655013157
255,4989,1978-08-30,2.217248687237032
256,4989,1978-08-30,2.5693617299127633
257,7922,1986-09-10,2.0303671101295895
258,7923,1986-09-11,1.6505847736734593
259,7923,1986-09-11,1.9016598620337732
260,9377,1990-09-04,2.225611141397596
261,9377,1990-09-04,2.4834809907153494
262,6100,1981-09-14,2.285808400369009
263,5754,1980-10-03,2.467141847756107
264,2103,1970-10-05,1.9502002427013123
265,19992,2019-09-27,1.6864915823807274
266,6105,1981-09-19,1.7530404106261985
267,6106,1981-09-20,2.6909382771585646
